"corruption","severity","RMSE"
"gaussian_noise",1,9.22177194986265
"shot_noise",1,8.956634592496346
"impulse_noise",1,1.754805037298225
"defocus_blur",1,6.492918599616985
"glass_blur",1,6.661362925754076
"motion_blur",1,6.565705938762453
"zoom_blur",1,8.041098423906758
"snow",1,10.800247674260982
"frost",1,10.367673376022582
"fog",1,10.317375659437204
"brightness",1,10.079353272763917
"contrast",1,10.116268337990856
"elastic_transform",1,6.249745884551401
"pixelate",1,5.399429973057805
"jpeg_compression",1,6.513074531369657
"speckle_noise",1,8.07339747769016
"gaussian_blur",1,5.716717831745662
"spatter",1,1.440985869017809
"saturate",1,6.643396258299143
"gaussian_noise",2,9.72002848673373
"shot_noise",2,9.55031903248219
"impulse_noise",2,2.4815823028803976
"defocus_blur",2,6.819785807003852
"glass_blur",2,6.731307920523874
"motion_blur",2,7.164023530658756
"zoom_blur",2,8.36191100311567
"snow",2,10.560787090260948
"frost",2,10.314447388802385
"fog",2,10.311995435496966
"brightness",2,9.598771523818105
"contrast",2,10.201282783247986
"elastic_transform",2,6.567877562088648
"pixelate",2,5.763014011492169
"jpeg_compression",2,6.850254418975272
"speckle_noise",2,8.558999084962574
"gaussian_blur",2,6.677763122047766
"spatter",2,3.636412193328429
"saturate",2,7.010626028587611
"gaussian_noise",3,10.011222448909576
"shot_noise",3,9.875001272057743
"impulse_noise",3,3.039537474579585
"defocus_blur",3,7.289774522341878
"glass_blur",3,7.43691870763395
"motion_blur",3,7.656342141916788
"zoom_blur",3,8.565077796022518
"snow",3,10.569826974208226
"frost",3,10.141088096958379
"fog",3,10.299031855452508
"brightness",3,10.74437088814702
"contrast",3,10.250531624668008
"elastic_transform",3,6.85531589513004
"pixelate",3,6.148488111315065
"jpeg_compression",3,7.055587205368366
"speckle_noise",3,9.250593371448316
"gaussian_blur",3,7.166539415488502
"spatter",3,4.726934339432234
"saturate",3,7.041475777732232
"gaussian_noise",4,10.126330641050826
"shot_noise",4,10.070128970221987
"impulse_noise",4,4.177350607580606
"defocus_blur",4,7.601189604479344
"glass_blur",4,7.443907099630899
"motion_blur",4,8.026640946833655
"zoom_blur",4,8.742707645283021
"snow",4,10.381935623452442
"frost",4,10.162070115694796
"fog",4,10.2986192256986
"brightness",4,10.918427836425225
"contrast",4,10.279421783691577
"elastic_transform",4,7.014545031971965
"pixelate",4,6.449769542311577
"jpeg_compression",4,7.5945431505382945
"speckle_noise",4,9.46550031028733
"gaussian_blur",4,7.493654629772797
"spatter",4,3.5609441798214205
"saturate",4,8.080520166260047
"gaussian_noise",5,10.159731010996294
"shot_noise",5,10.111034065784152
"impulse_noise",5,5.264341951147604
"defocus_blur",5,7.834458196833629
"glass_blur",5,7.710247414372506
"motion_blur",5,8.240061512578052
"zoom_blur",5,8.902552946701615
"snow",5,10.272915387000568
"frost",5,10.169675154226773
"fog",5,10.288378687952632
"brightness",5,9.10384115093687
"contrast",5,10.276282133772751
"elastic_transform",5,7.1835553359650275
"pixelate",5,6.642783400065898
"jpeg_compression",5,8.115124727037694
"speckle_noise",5,9.646009907538232
"gaussian_blur",5,7.933507622458872
"spatter",5,4.518701980106571
"saturate",5,8.070644177871069
